instance,n,BEST_ENVELOPE,CI,EDP_3SECT,EDP_LOCAL_3SECT,EXACT,FARTHEST_INSERTION,MF_EDP_ILS,NEAREST_INSERTION
a280,280,1.4498651027679443,0.07706952095031738,1.4498651027679443,1.4037365913391113,0.0,0.1531386375427246,3.221909761428833,0.15313982963562012
att48,48,0.18523955345153809,0.017015695571899414,1.8167877197265625,1.9319462776184082,0.0,0.015013933181762695,0.18523955345153809,0.014975547790527344
berlin52,52,1.5873668193817139,0.011812686920166016,1.5873668193817139,1.7646446228027344,0.0,0.016819238662719727,4.571998119354248,0.016473770141601562
burma14,14,0.04189777374267578,0.04189777374267578,0.16659331321716309,0.2228689193725586,0.2423868179321289,0.041477203369140625,0.26575231552124023,0.040738582611083984
ch130,130,6.265121698379517,0.05123138427734375,1.2883050441741943,6.265121698379517,0.0,0.06694602966308594,2.690600633621216,0.06682443618774414
ch150,150,2.5766122341156006,0.045050621032714844,1.7635276317596436,6.221137046813965,0.0,0.08092355728149414,2.5766122341156006,0.07909250259399414
d198,198,19.424803972244263,0.09774303436279297,5.853750705718994,3.693467855453491,0.0,0.11810684204101562,19.424803972244263,0.12197065353393555
eil101,101,2.3728883266448975,0.02292919158935547,3.6452245712280273,1.1996054649353027,0.0,0.04305124282836914,2.3728883266448975,0.04435229301452637
eil51,51,0.20244693756103516,0.016020774841308594,1.132978916168213,2.355229139328003,0.0,0.015018701553344727,0.20244693756103516,0.014015436172485352
eil76,76,2.769350290298462,0.022720813751220703,4.183652639389038,6.667228698730469,0.0,0.030740022659301758,2.769350290298462,0.030989646911621094
gr202,202,5.30665397644043,0.06946730613708496,8.223054647445679,1.6397526264190674,0.0,0.1337721347808838,5.30665397644043,0.12861132621765137
gr666,666,7.446264743804932,0.4033191204071045,31.38813877105713,35.48301815986633,0.0,0.9087405204772949,7.446264743804932,0.8491952419281006
gr96,96,3.335865020751953,0.03353738784790039,1.98128080368042,2.0023393630981445,0.0,0.04373049736022949,3.335865020751953,0.04303932189941406
kroA100,100,1.9039647579193115,0.034562110900878906,1.9039647579193115,1.9028375148773193,0.0,0.06420302391052246,2.5366780757904053,0.06025362014770508
lin105,105,1.283581018447876,0.04504060745239258,1.283581018447876,1.25789475440979,0.0,0.0717782974243164,3.012629985809326,0.07922077178955078
lin318,318,5.163387060165405,0.18366312980651855,6.437886714935303,6.752608060836792,0.0,0.3382420539855957,5.163387060165405,0.35263824462890625
pcb442,442,4.579850435256958,0.1945509910583496,3.0546021461486816,3.2086679935455322,0.0,0.43874382972717285,4.579850435256958,0.45568013191223145
pr1002,1002,8.08299994468689,0.9140453338623047,8.08299994468689,8.140860319137573,0.0,2.2347710132598877,8.80786681175232,2.0481176376342773
pr76,76,3.2543106079101562,0.022026538848876953,1.4544293880462646,1.5453474521636963,0.0,0.03157305717468262,3.2543106079101562,0.028499126434326172
rat575,575,5.054044008255005,0.28344249725341797,5.054044008255005,5.220776081085205,0.0,0.6724812984466553,5.396176338195801,0.6530652046203613
st70,70,3.2284603118896484,0.022019624710083008,3.4103593826293945,1.1377387046813965,0.0,0.024929046630859375,3.2284603118896484,0.02470254898071289
u724,724,5.84183144569397,0.481473445892334,5.84183144569397,5.84789776802063,0.0,1.2241313457489014,6.65957498550415,1.1854979991912842
ulysses16.tsp,16,0.1887805461883545,0.1887805461883545,0.6176872253417969,0.7347493171691895,1.838927984237671,0.1764512062072754,0.660226583480835,0.18467950820922852
ulysses22.tsp,22,0.006005525588989258,0.006005048751831055,0.3723421096801758,0.5128257274627686,0.0,0.007006645202636719,0.04703378677368164,0.006005525588989258
